# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.35700002 277455.81250000 22349.06640625
0.35800001 280529.90625000 18127.84375000
0.35900003 283627.21875000 18379.04492188
0.36000001 286755.87500000 18633.39843750
0.36100003 289867.46875000 18887.76562500
0.36200002 292993.81250000 15953.51367188
0.36300001 296052.09375000 19397.33398438
0.36400002 299080.59375000 19649.59570312
0.36500001 302038.21875000 18240.08789062
0.36600003 304957.84375000 25181.89648438
0.36700001 307747.00000000 20385.16210938
0.36800003 310461.34375000 24057.65234375
0.36900002 313063.25000000 20850.01367188
0.37000000 315497.93750000 21068.95312500
0.37100002 317813.09375000 19507.36914062
0.37200001 319976.78125000 23273.51171875
0.37300003 321961.34375000 23480.64257812
0.37400001 323789.87500000 25498.45312500
0.37500003 325445.43750000 25697.17382812
0.37600002 326882.18750000 25879.26367188
0.37700000 328123.56250000 20465.06640625
0.37800002 329169.68750000 31812.60546875
0.37900001 330013.68750000 20691.85937500
0.38000003 330634.09375000 22674.88671875
0.38100001 331029.00000000 22761.55468750
0.38200003 331222.93750000 24737.38671875
0.38300002 331181.96875000 20983.68945312
0.38400000 330940.56250000 26756.54492188
0.38500002 330467.21875000 30614.48437500
0.38600001 329803.46875000 24888.61914062
0.38700002 328912.93750000 26799.82812500
0.38800001 327825.71875000 26780.08398438
0.38900003 326535.40625000 21012.55468750
0.39000002 325069.09375000 19065.30273438
0.39100003 323424.68750000 24722.58593750
0.39200002 321599.68750000 22749.96289062
0.39300001 319603.00000000 26443.95312500
0.39400002 317465.18750000 20690.79492188
0.39500001 315176.53125000 22465.78320312
0.39600003 312758.15625000 18624.75000000
0.39700001 310227.46875000 22224.69726562
0.39800003 307583.78125000 22090.66796875
0.39900002 304852.65625000 23778.50781250
0.40000001 302029.65625000 21800.50000000
0.40100002 299130.15625000 23448.81445312
0.40200001 296188.09375000 19695.02734375
0.40300003 293185.93750000 21320.48242188
0.40400001 290160.84375000 21152.72656250
0.40500003 287113.84375000 17485.23437500
0.40600002 284076.87500000 24280.05078125
0.40700001 281020.15625000 25797.65039062
0.40800002 277989.93750000 23876.55664062
0.40900001 274978.75000000 32131.26757812
0.41000003 272020.81250000 20124.10156250
0.41100001 269098.00000000 19956.30859375
0.41200003 266224.96875000 19791.16601562
0.41300002 263425.87500000 19630.49609375
0.41400003 260704.54687500 21097.51757812
0.41500002 258063.01562500 17713.44726562
0.41600001 255493.01562500 15981.08886719
0.41700003 253035.82812500 20624.95117188
0.41800001 250682.53125000 20482.01757812
0.41900003 248396.23437500 23473.44531250
0.42000002 246255.59375000 17106.14453125
0.42100003 244217.60937500 17004.87304688
0.42200002 242289.53125000 15373.27148438
0.42300001 240472.70312500 22941.09570312
0.42400002 238769.42187500 16743.70703125
0.42500001 237188.06250000 18187.58203125
0.42600003 235721.37500000 24156.72851562
0.42700002 234373.76562500 18056.15625000
0.42800003 233131.48437500 15002.01171875
0.42900002 232012.07812500 16461.25781250
0.43000001 230999.29687500 20907.74609375
0.43100002 230080.57812500 19381.98828125
0.43200001 229282.75000000 19359.49023438
0.43300003 228572.10937500 19344.05859375
0.43400002 227953.67187500 20823.56835938
0.43500003 227427.04687500 17848.47656250
0.43600002 227005.53125000 14880.21289062
0.43700001 226652.09375000 16380.14746094
0.43800002 226364.40625000 16396.70703125
0.43900001 226158.57812500 17911.75976562
0.44000003 226020.00000000 16446.34570312
0.44100001 225937.62500000 19473.56445312
0.44200003 225916.48437500 15012.15136719
0.44300002 225936.29687500 18056.83007812
0.44400004 226016.43750000 19612.57812500
0.44500002 226109.35937500 22690.07617188
0.44600001 226245.92187500 18203.74804688
0.44700003 226412.68750000 22822.40039062
0.44800001 226605.54687500 15261.88378906
0.44900003 226814.34375000 18371.96289062
0.45000002 227057.25000000 23040.63476562
0.45100003 227279.71875000 18491.47851562
0.45200002 227521.51562500 24736.14062500
0.45300001 227768.09375000 23266.51171875
0.45400003 228013.50000000 23342.88281250
0.45500001 228262.57812500 26542.37304688
0.45600003 228489.98437500 25060.78320312
0.45700002 228719.95312500 20426.98046875
0.45800003 228942.95312500 17338.99609375
0.45900002 229138.51562500 18972.66992188
0.46000001 229343.98437500 20616.87695312
0.46100003 229505.78125000 22266.65234375
0.46200001 229670.14062500 17545.65039062
0.46300003 229812.93750000 19193.97851562
0.46400002 229942.34375000 22453.87109375
0.46500003 230053.68750000 16080.75390625
0.46600002 230144.31250000 19345.93164062
0.46700001 230217.51562500 19393.52343750
0.46800002 230282.26562500 25920.57226562
0.46900001 230327.20312500 21109.48828125
0.47000003 230357.60937500 17902.24218750
0.47100002 230383.42187500 19573.37695312
0.47200003 230394.89062500 24519.77734375
0.47300002 230406.28125000 19658.26562500
0.47400004 230398.39062500 19699.06445312
0.47500002 230395.89062500 19740.32031250
0.47600001 230395.48437500 28024.15625000
0.47700003 230379.95312500 23125.54101562
0.47800002 230384.53125000 26485.00585938
0.47900003 230392.57812500 18247.09375000
0.48000002 230399.62500000 29922.00000000
0.48100004 230431.03125000 19992.19726562
0.48200002 230459.50000000 21705.82812500
0.48300001 230502.17187500 21754.79492188
0.48400003 230580.50000000 20129.67968750
0.48500001 230669.12500000 21860.51367188
0.48600003 230784.85937500 23602.36914062
0.48700002 230926.92187500 18594.23632812
0.48800004 231085.37500000 27120.18164062
0.48900002 231273.46875000 25497.90039062
0.49000001 231503.59375000 27280.38476562
0.49100003 231765.51562500 17104.29687500
0.49200001 232049.01562500 22308.03320312
0.49300003 232382.87500000 17219.57226562
0.49400002 232741.48437500 19009.16210938
0.49500003 233140.87500000 17345.68164062
0.49600002 233586.53125000 24379.42773438
0.49700001 234056.90625000 17484.05078125
0.49800003 234583.09375000 22826.10937500
0.49900001 235130.90625000 24688.74609375
0.50000000 235724.29687500 31886.42578125
